Cohort Year,Cohort Category,Demographic,# Total Cohort,# Total Grads,% of cohort Total Grads,# of cohort Total Grads,% of cohort Total Regents,% of grads  Total Regents,# of grads  Total Regents,% of cohort  Advanced Regents,% of grads  Advanced Regents,# of grads  Advanced Regents,% of cohort  Regents w/o Advanced,% of grads  Regents w/o Advanced,# of grads  Regents w/o Advanced,% of cohort Local,% of grads Local,# Still Enrolled,% of cohort Still Enrolled,# Dropped Out,% of cohort Dropped Out
2003,5 Year  June,Male,37059,21002,56.7,13516,36.5,64.4,5129,13.8,24.4,8387,22.6,39.9,7486,20.2,35.6,4923,13.3,9313,25.1
2003,6 Year,Male,37134,22277,60,13893,37.4,62.4,5136,13.8,23.1,8757,23.6,39.3,8384,22.6,37.6,2455,6.6,10134,27.3
2004,4 Year  June,Male,37734,18828,49.9,13682,36.3,72.7,5682,15.1,30.2,8000,21.2,42.5,5146,13.6,27.3,11804,31.3,5982,15.9
2004,5 Year  June,Male,38095,22915,60.2,15258,40.1,66.6,5817,15.3,25.4,9441,24.8,41.2,7657,20.1,33.4,4381,11.5,8064,21.2
2004,6 Year,Male,38101,24299,63.8,15685,41.2,64.5,5825,15.3,24,9860,25.9,40.6,8614,22.6,35.5,2653,7,8942,23.5
2005,4 Year  June,Male,39096,20559,52.6,15565,39.8,75.7,5649,14.4,27.5,9916,25.4,48.2,4993,12.8,24.3,11196,28.6,5406,13.8
2005,4 Year August,Male,39096,22122,56.6,16299,41.7,73.7,5725,14.6,25.9,10574,27,47.8,5822,14.9,26.3,9634,24.6,5406,13.8
2005,5 Year  June,Male,39470,24583,62.3,17374,44,70.7,5827,14.8,23.7,11547,29.3,47,7209,18.3,29.3,3992,10.1,8210,20.8
2005,6 Year,Male,39351,25912,65.8,17815,45.3,68.8,5831,14.8,22.5,11984,30.5,46.2,8097,20.6,31.2,2070,5.3,8719,22.2
2006,4 Year  June,Male,39596,21840,55.2,17628,44.5,80.7,5787,14.6,26.5,11841,29.9,54.2,4212,10.6,19.3,10420,26.3,5452,13.8
2006,4 Year August,Male,39596,23597,59.6,18537,46.8,78.6,5855,14.8,24.8,12682,32,53.7,5060,12.8,21.4,8685,21.9,5431,13.7
2006,5 Year  June,Male,40146,25751,64.1,19531,48.6,75.8,5904,14.7,22.9,13627,33.9,52.9,6220,15.5,24.2,3816,9.5,8078,20.1
2006,5 Year August,Male,40146,26194,65.2,19698,49.1,75.2,5904,14.7,22.5,13794,34.4,52.7,6496,16.2,24.8,3486,8.7,7946,19.8
2006,6 Year,Male,39415,27013,68.5,20014,50.8,74.1,5890,14.9,21.8,14124,35.8,52.3,6999,17.8,25.9,1514,3.8,8440,21.4
2007,4 Year  June,Male,40519,22511,55.6,19458,48,86.4,5893,14.5,26.2,13565,33.5,60.3,3053,7.5,13.6,10785,26.6,5678,14
2007,4 Year August,Male,40519,24466,60.4,20636,50.9,84.3,5960,14.7,24.4,14676,36.2,60,3830,9.5,15.7,8906,22,5614,13.9
2007,5 Year  June,Male,40166,26267,65.4,21476,53.5,81.8,5909,14.7,22.5,15567,38.8,59.3,4791,11.9,18.2,3346,8.3,8425,21
2007,5 Year August,Male,40166,26701,66.5,21691,54,81.2,5910,14.7,22.1,15781,39.3,59.1,5010,12.5,18.8,3017,7.5,8327,20.7
2007,6 Year,Male,40211,27588,68.6,22231,55.3,80.6,5980,14.9,21.7,16251,40.4,58.9,5357,13.3,19.4,1748,4.3,8647,21.5
2008,4 Year  June,Male,40968,22758,55.6,21515,52.5,94.5,5997,14.6,26.4,15518,37.9,68.2,1243,3,5.5,11595,28.3,5345,13
2008,4 Year August,Male,40968,24534,59.9,23044,56.2,93.9,6052,14.8,24.7,16992,41.5,69.3,1490,3.6,6.1,9862,24.1,5326,13
2008,5 Year  June,Male,40719,26461,65,24631,60.5,93.1,6082,14.9,23,18549,45.6,70.1,1830,4.5,6.9,4980,12.2,7281,17.9
2008,5 Year August,Male,40719,26938,66.2,25024,61.5,92.9,6089,15,22.6,18935,46.5,70.3,1914,4.7,7.1,4543,11.2,7252,17.8
2008,6 Year,Male,40612,27810,68.5,25652,63.2,92.2,6091,15,21.9,19561,48.2,70.3,2158,5.3,7.8,2563,6.3,7806,19.2
2009,4 Year  June,Male,40139,22565,56.2,21302,53.1,94.4,6034,15,26.7,15268,38,67.7,1263,3.1,5.6,11552,28.8,4845,12.1
2009,4 Year August,Male,40139,24573,61.2,23046,57.4,93.8,6104,15.2,24.8,16942,42.2,68.9,1527,3.8,6.2,9575,23.9,4843,12.1
2009,5 Year  June,Male,39880,26740,67.1,24783,62.1,92.7,6135,15.4,22.9,18648,46.8,69.7,1957,4.9,7.3,4926,12.4,6735,16.9
2009,5 Year August,Male,39880,27224,68.3,25177,63.1,92.5,6138,15.4,22.5,19039,47.7,69.9,2047,5.1,7.5,4466,11.2,6719,16.8
2009,6 Year,Male,39842,28173,70.7,25874,64.9,91.8,6140,15.4,21.8,19734,49.5,70,2299,5.8,8.2,2657,6.7,7406,18.6
2010,4 Year  June,Male,38680,23061,59.6,21471,55.5,93.1,6051,15.6,26.2,15420,39.9,66.9,1590,4.1,6.9,10575,27.3,4133,10.7
2010,4 Year August,Male,38680,24845,64.2,22983,59.4,92.5,6134,15.9,24.7,16849,43.6,67.8,1862,4.8,7.5,8799,22.7,4131,10.7
2010,5 Year  June,Male,38495,26876,69.8,24537,63.7,91.3,6158,16,22.9,18379,47.7,68.4,2339,6.1,8.7,4364,11.3,5963,15.5
2010,5 Year August,Male,38495,27231,70.7,24810,64.4,91.1,6160,16,22.6,18650,48.4,68.5,2421,6.3,8.9,4021,10.4,5953,15.5
2011,4 Year  June,Male,38220,23581,61.7,22165,58,94,6285,16.4,26.7,15880,41.5,67.3,1416,3.7,6,9805,25.7,3926,10.3
2011,4 Year August,Male,38220,24973,65.3,23299,61,93.3,6336,16.6,25.4,16963,44.4,67.9,1674,4.4,6.7,8423,22,3924,10.3
