Cohort Year,Cohort Category,Demographic,# Total Cohort,# Total Grads,% of cohort Total Grads,# of cohort Total Grads,% of cohort Total Regents,% of grads  Total Regents,# of grads  Total Regents,% of cohort  Advanced Regents,% of grads  Advanced Regents,# of grads  Advanced Regents,% of cohort  Regents w/o Advanced,% of grads  Regents w/o Advanced,# of grads  Regents w/o Advanced,% of cohort Local,% of grads Local,# Still Enrolled,% of cohort Still Enrolled,# Dropped Out,% of cohort Dropped Out
2009,5 Year  June,Asian,13105,11049,84.3,10874,83,98.4,5955,45.4,53.9,4919,37.5,44.5,175,1.3,1.6,727,5.5,1205,9.2
2009,5 Year August,Asian,13105,11134,85,10956,83.6,98.4,5958,45.5,53.5,4998,38.1,44.9,178,1.4,1.6,644,4.9,1203,9.2
2009,6 Year,Asian,13107,11272,86,11077,84.5,98.3,5960,45.5,52.9,5117,39,45.4,195,1.5,1.7,418,3.2,1281,9.8
2010,4 Year  June,Asian,12967,10300,79.4,10179,78.5,98.8,5866,45.2,57,4313,33.3,41.9,121,0.9,1.2,1834,14.1,756,5.8
2010,4 Year August,Asian,12967,10706,82.6,10559,81.4,98.6,5927,45.7,55.4,4632,35.7,43.3,147,1.1,1.4,1428,11,756,5.8
2010,5 Year  June,Asian,12904,11093,86,10900,84.5,98.3,5955,46.1,53.7,4945,38.3,44.6,193,1.5,1.7,637,4.9,1050,8.1
2010,5 Year August,Asian,12904,11159,86.5,10961,84.9,98.2,5957,46.2,53.4,5004,38.8,44.8,198,1.5,1.8,578,4.5,1043,8.1
2011,4 Year  June,Asian,12834,10583,82.5,10466,81.5,98.9,5997,46.7,56.7,4469,34.8,42.2,117,0.9,1.1,1602,12.5,589,4.6
2011,4 Year August,Asian,12834,10910,85,10774,83.9,98.8,6042,47.1,55.4,4732,36.9,43.4,136,1.1,1.2,1275,9.9,589,4.6
2001,4 Year  June,Black,26107,10477,40.1,5481,21,52.3,1308,5,12.5,4173,16,39.8,5000,19.2,47.7,8750,33.5,5956,22.8
2001,5 Year  June,Black,26107,12990,49.8,5941,22.8,45.7,1332,5.1,10.3,4609,17.7,35.5,7065,27.1,54.4,3734,14.3,8058,30.9
