sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
27614@1,-80.02859716,40.49891606,24,5,8,9,16,47,94,149,168,226,170,157,144,152,181,197,215,273,189,149,155,81,55,39
14584@1,-79.75316943,40.60684258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,916,977,986,673,593,685,-1,-1,-1,-1,-1,-1
5521@1,-80.26487269,40.41348206,2,-1,1,-1,1,5,23,48,26,9,16,14,28,16,20,36,32,47,22,22,25,25,9,1
19127@1,-79.88385413,40.39648561,33,26,9,28,109,230,293,256,225,202,242,283,305,362,361,463,434,381,282,245,203,139,104,58
114@1,-79.90830312,40.25528999,12,5,4,6,16,39,56,64,51,58,61,63,69,93,76,100,85,76,76,67,43,40,26,23
5867@1,-79.95551417,40.52612662,4,4,3,-1,1,10,70,113,77,72,78,82,72,78,99,115,152,125,90,88,56,41,18,6
26593@1,-79.87983225,40.551529,15,7,5,11,23,73,281,596,481,309,237,261,262,307,370,487,529,484,315,218,154,127,56,43
119@2,-79.7765064,40.43785124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,931,812,855,970,37,-1,-1,-1,-1,-1,-1
119@1,-79.77647275,40.43774762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,244,343,404,313,386,449,-1,-1,-1,-1,-1,-1
26808@1,-80.05735686,40.53404171,77,43,28,34,51,191,597,128,105,844,781,955,8,975,47,247,355,464,277,913,680,451,257,157
21670@1,-80.02810572,40.44403606,61,48,45,36,71,227,786,253,152,570,424,473,416,385,458,647,641,549,424,249,159,170,175,136
21670@2,-80.02830433,40.44443315,93,88,49,36,46,151,341,368,363,329,307,370,314,406,457,662,805,840,423,295,230,198,176,122
14782@1,-79.931899,40.49479798,9,11,6,4,3,11,39,65,64,86,53,65,75,105,84,108,100,157,103,100,58,48,44,58
27499@1,-79.90368287,40.54403692,7,4,1,2,48,157,356,404,228,221,189,190,182,232,314,403,487,353,227,177,80,56,17,10
142@1,-80.15767811,40.51256465,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,123,123,147,174,223,292,-1,-1,-1,-1,-1,-1
6058@1,-79.85484735,40.20731572,24,19,17,33,63,203,302,348,283,227,249,285,292,330,339,438,499,413,270,203,170,156,96,46
5303@1,-79.84487328,40.42167535,16,15,10,16,16,49,137,235,234,173,138,159,164,202,214,241,233,269,238,163,155,133,64,38
5503@1,-80.14871726,40.40371615,11,5,4,4,6,37,121,172,155,101,103,117,118,99,135,182,295,291,165,82,89,51,18,19
27604@1,-80.08487903,40.52191357,32,16,17,18,37,96,330,524,557,567,694,685,701,721,728,764,873,831,649,472,314,211,119,55
27663@1,-80.08627946,40.39541672,16,4,7,9,17,75,282,740,675,441,443,498,512,515,589,690,794,737,476,296,185,106,84,28
5968@1,-79.83865132,40.45275401,24,11,16,14,24,69,195,252,209,171,149,175,156,187,196,282,313,358,223,172,117,114,63,51
27722@1,-79.97642333,40.3112374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,888,790,899,52,179,53,-1,-1,-1,-1,-1,-1
25109@1,-79.77716955,40.58531064,62,39,33,37,74,232,484,610,639,555,575,592,653,679,770,823,798,696,490,362,293,229,215,120
6079@1,-79.96262665,40.29165472,2,-1,-1,-1,2,6,14,8,17,7,19,20,37,20,16,18,30,15,18,16,7,9,3,5
27547@1,-79.97101243,40.40533072,50,14,19,33,69,257,997,86,606,93,80,334,437,549,591,839,959,133,760,163,806,450,164,83
6000@1,-79.80257068,40.34041397,59,39,30,43,96,294,632,866,768,734,802,885,898,922,17,180,271,161,824,586,468,348,201,120
5911@1,-79.86273966,40.58218424,3,2,2,2,1,9,27,63,55,45,35,38,71,42,37,109,81,137,100,83,75,34,19,13
27643@1,-80.07361273,40.44228003,28,33,11,23,34,149,358,476,406,284,291,312,328,256,196,251,244,251,245,177,163,117,67,44
10171@1,-80.18304666,40.33263267,1,-1,-1,-1,2,5,13,30,19,18,10,18,17,22,21,32,30,43,27,23,19,9,4,1
21668@1,-80.26294298,40.44194958,1,-1,1,7,1,30,43,82,41,35,40,63,98,54,72,74,90,70,70,66,64,42,24,26
10550@1,-79.794269,40.50828689,60,48,37,18,38,189,468,668,571,436,456,474,468,501,590,765,838,779,572,453,279,242,176,125
103@1,-79.98685138,40.42874021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,954,891,871,938,909,945,-1,-1,-1,-1,-1,-1
6121@1,-79.89153885,40.40520098,35,15,21,40,139,221,242,209,190,206,192,233,248,265,286,325,341,266,247,197,143,144,94,45
6043@1,-79.87079992,40.3482271,7,5,2,1,12,40,83,103,98,78,80,80,70,90,77,92,90,101,67,44,43,27,30,27
27617@1,-80.04484407,40.49041517,22,38,47,71,136,199,252,386,501,539,731,910,685,638,618,606,604,539,515,479,443,312,124,74
27680@1,-80.00484321,40.44816331,12,8,4,22,30,106,384,782,525,256,238,230,234,264,368,440,598,670,380,264,174,106,52,34
